rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2605.03452v1,BifrostUMI: Bridging Robot-Free Demonstrations and Humanoid Whole-Body Manipulation,2026,arXiv,http://arxiv.org/abs/2605.03452v1,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1109/icra.2015.7139995,Whole-body pushing manipulation with contact posture planning of large and heavy object for humanoid robot,2015,2015 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2015.7139995,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2602.06643v2,Humanoid Manipulation Interface: Humanoid Whole-Body Manipulation from Robot-Free Demonstrations,2026,arXiv,http://arxiv.org/abs/2602.06643v2,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2603.03279v1,ULTRA: Unified Multimodal Control for Autonomous Humanoid Whole-Body Loco-Manipulation,2026,arXiv,http://arxiv.org/abs/2603.03279v1,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2508.16943v2,LHM-Humanoid: Learning a Unified Policy for Long-Horizon Humanoid Whole-Body Loco-Manipulation in Diverse Messy Environments,2025,arXiv,http://arxiv.org/abs/2508.16943v2,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2501.02116v2,"Humanoid Locomotion and Manipulation: Current Progress and Challenges in Control, Planning, and Learning",2025,arXiv,http://arxiv.org/abs/2501.02116v2,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2409.20514v6,Opt2Skill: Imitating Dynamically-feasible Whole-Body Trajectories for Versatile Humanoid Loco-Manipulation,2024,arXiv,http://arxiv.org/abs/2409.20514v6,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2509.11839v3,TrajBooster: Boosting Humanoid Whole-Body Manipulation via Trajectory-Centric Learning,2025,arXiv,http://arxiv.org/abs/2509.11839v3,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2605.21133v1,Humanoid Whole-Body Manipulation via Active Spatial Brain and Generalizable Action Cerebellum,2026,arXiv,http://arxiv.org/abs/2605.21133v1,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2510.03022v1,HumanoidExo: Scalable Whole-Body Humanoid Manipulation via Wearable Exoskeleton,2025,arXiv,http://arxiv.org/abs/2510.03022v1,Addresses humanoid whole-body manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Humanoid whole body affordance debt keeps action-critical alternatives explicit until a physical observation collapses them.
